settingsFile;InputVideo; Frame#; GaussMean;GaussStdDev;GaussMixProp;Goodness-Of-Fit Value;kalmanGaussMean;kalmanGaussStdDev;kalmanGaussMixProp;Rain Intensity;Kalman Rain Intensity







D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 7; 126.072356;6.853710;0.462875;0.107119;0.000000;0.000000;0.000000;19389.054776;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 8; 126.566956;7.622517;0.473313;0.080722;0.000000;0.000000;0.000000;32379.916786;0.000000
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 9; 124.923817;11.509381;0.473235;0.047828;119.003257;10.963913;0.450806;46074.415496;43890.793909
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 10; 122.985863;16.571789;0.551783;0.063775;119.003257;10.963913;0.450806;78000.424418;63726.301479
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 11; 122.235630;20.367119;0.640916;0.042686;128.930081;19.894872;0.645003;109121.175081;109817.034304
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 12; 123.649941;18.771483;0.589420;0.040412;128.985784;20.730155;0.643147;113726.832921;124093.245860
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 13; 124.760463;18.888643;0.627057;0.040844;128.721840;20.673594;0.658303;134458.432153;141158.405612
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 14; 122.511207;20.979930;0.603807;0.029069;126.549939;21.703407;0.643860;127518.366496;135977.237590
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 15; 123.618031;20.642387;0.562633;0.033734;125.681485;21.784937;0.606523;117834.715136;127026.978792
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 16; 124.337975;19.108721;0.546995;0.024583;125.369190;20.708603;0.573915;130549.850421;136974.734346
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 17; 126.111039;18.788340;0.523420;0.029308;126.067306;19.759856;0.541312;134478.147240;139074.924351
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 18; 115.790429;26.684862;0.585105;0.087837;126.067306;19.759856;0.541312;181984.149407;168363.394308
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 19; 112.844988;28.744867;0.593706;0.101106;126.067306;19.759856;0.541312;197178.669400;179777.774829
